Model,Price,Processor Brand,Processor Model,Processor Frequency,Processor Core,Processor Thread,CPU Cache,Display Size,Display Type,Display Resolution,Touch Screen,Display Features,RAM,RAM Type,Removable,Bus Speed,Total RAM Slot,Storage Type,Storage Capacity,Extra M.2 Slot,Supported SSD Type,Storage Upgrade,Graphics Model,Graphics Memory,Keyboard Type,TouchPad,WebCam,Speaker,Microphone,Optical Drive,Card Reader,HDMI Port,USB 2 Port,USB 3 Port,USB Type-C / Thunderbolt Port,Headphone & Microphone Port,WiFi,Bluetooth,Fingerprint Sensor,Operating System,Battery Type,Battery Capacity,Adapter Type,Color,Dimensions,Weight,Warranty Details,Chipset Model,Graphics Type,Audio Features,LAN,Camera Privacy Shutter,Security Chip,Body Material,Other Features,Max RAM Capacity,Refresh Rate,HDD RPM,Generation,Security Locker Slot,Keyboard Features,NPU,Response TIme,Backup Time (Approx),Other Pre-installed Softwares
"Lenovo IdeaPad 1 AMD Ryzen 5 7520U 14"" FHD Laptop 8GB DDR5 RAM 256GB SSD with 2 Years warranty",60500,AMD,Ryzen 5 7520U, 2.8 GHz – 4.3 GHz,4,8,"L1 Cache: 256KB
L2 Cache: 2MB
L3 Cache: 4MB","14""",TN,FHD (1920 x 1080),N/A,220nits Anti-glare; 170° Viewing Angle,8GB (On Board),DDR5,No,5500MHz,1,NVMe PCIe SSD,256GB ,N/A, PCIe NVMe M.2,Installed SSD can be upgradeable,AMD Radeon 610M,Shared,Standard,Yes,Yes,Yes,Yes,N/A,SD Media Card Reader,1x HDMI 1.4b,1x USB 2.0 Type-A,1x USB 3.2 Gen 1 Type-A,1x USB-C 3.2 Gen 1 (support data transfer only),1 x Headphone/ Microphone Port Combo,"11ax, 2x2",Bluetooth 5.0,No,Free Dos,3 Cell Li-ion,42Whr ,65W Round Tip (3-pin),Cloud Grey,325.3 x 216.5 x 17.9 mm,1.38 kg, 2 years warranty ( Battery adapter 1 year),,,,,,,,,,,,,,,,,,
"Lenovo IdeaPad 1 AMD Ryzen 5 7520U 14"" FHD Laptop 8GB DDR5 RAM 256GB SSD Sand with 2 Years Warranty",60000,AMD,Ryzen 5 7520U, 2.8 GHz – 4.3 GHz,4,8,"L1 Cache: 256KB
L2 Cache: 2MB
L3 Cache: 4MB","14""",TN,FHD (1920 x 1080),N/A,220nits Anti-glare; 170° Viewing Angle,8GB (On Board),DDR5,No,5500MHz,1,NVMe PCIe SSD,256GB ,N/A, PCIe NVMe M.2,Installed SSD can be upgradeable,AMD Radeon 610M,Shared,Standard,Yes,Yes,Yes,Yes,N/A,SD Media Card Reader,1x HDMI 1.4b,1x USB 2.0 Type-A,1x USB 3.2 Gen 1 Type-A,1x USB-C 3.2 Gen 1 (support data transfer only),1 x Headphone/ Microphone Port Combo,"11ax, 2x2",Bluetooth 5.0,No,Free Dos,3 Cell Li-ion,42Whr ,65W Round Tip (3-pin),Cloud Grey,325.3 x 216.5 x 17.9 mm,1.38 kg, 2 years warranty ( Battery adapter 1 year),,,,,,,,,,,,,,,,,,
"Lenovo IdeaPad 1 AMD Ryzen 5 7520U 15.6"" FHD Laptop 8GB DDR5 RAM 256GB SSD Grey with 2 Years Warranty",61000,AMD,Ryzen 5 7520U, 2.8 GHz – 4.3 GHz,4,8,"L1 Cache: 256KB
L2 Cache: 2MB
L3 Cache: 4MB","15.6""",TN,FHD (1920 x 1080),N/A,220nits Anti-glare; 170° Viewing Angle,8GB (On Board),DDR5,NO,5500MHz,1,NVMe PCIe SSD,256GB ,N/A, PCIe NVMe M.2,Installed SSD can be upgradeable,AMD Radeon 610M,Shared,Standard,Yes,Yes,Yes,Yes,N/A,SD Media Card Reader,1x HDMI 1.4b,1x USB 2.0 Type-A,1x USB 3.2 Gen 1 Type-A,1x USB-C 3.2 Gen 1 (support data transfer only),1 x Headphone/ Microphone Port Combo,"11ax, 2x2",Bluetooth 5.0,No,Free Dos,3 Cell Li-ion,42Whr ,65W Round Tip (3-pin),Cloud Grey,325.3 x 216.5 x 17.9 mm,1.58 kg, 2 years warranty ( Battery adapter 1 year),,,,,,,,,,,,,,,,,,
"Lenovo IdeaPad 1 AMD Ryzen 5 7520U 14"" FHD Laptop 8GB DDR5 RAM 512GB SSD Sand with 2 Years Warranty",63000,AMD,Ryzen 5 7520U, 2.8 GHz – 4.3 GHz,4,8,"L1 Cache: 256KB
L2 Cache: 2MB
L3 Cache: 4MB","14""",TN,FHD (1920 x 1080),N/A,220nits Anti-glare; 170° Viewing Angle,8GB (On Board),DDR5,No,5500MHz,1,NVMe PCIe SSD,512GB ,N/A, PCIe NVMe M.2,Installed SSD can be upgradeable,AMD Radeon 610M,Shared,Standard,Yes,Yes,Yes,Yes,N/A,SD Media Card Reader,1x HDMI 1.4b,1x USB 2.0 Type-A,1x USB 3.2 Gen 1 Type-A,1x USB-C 3.2 Gen 1 (support data transfer only),1 x Headphone/ Microphone Port Combo,"11ax, 2x2",Bluetooth 5.0,No,Free Dos,3 Cell Li-ion,42Whr ,65W Round Tip (3-pin),Sand,325.3 x 216.5 x 17.9 mm,1.38 kg, 2 years warranty ( Battery adapter 1 year),,,,,,,,,,,,,,,,,,
"Lenovo IdeaPad 1 AMD Ryzen 5 7520U 14"" FHD Laptop 8GB DDR5 RAM 512GB SSD with 2 Years Warranty",63000,AMD,Ryzen 5 7520U, 2.8 GHz – 4.3 GHz,4,8,"L1 Cache: 256KB
L2 Cache: 2MB
L3 Cache: 4MB","14""",TN,FHD (1920 x 1080),N/A,220nits Anti-glare; 170° Viewing Angle,8GB (On Board),DDR5,No,5500MHz,1,NVMe PCIe SSD,512GB ,N/A, PCIe NVMe M.2,Installed SSD can be upgradeable,AMD Radeon 610M,Shared,Standard,Yes,Yes,Yes,Yes,N/A,SD Media Card Reader,1x HDMI 1.4b,1x USB 2.0 Type-A,1x USB 3.2 Gen 1 Type-A,1x USB-C 3.2 Gen 1 (support data transfer only),1 x Headphone/ Microphone Port Combo,"11ax, 2x2",Bluetooth 5.0,No,Free Dos,3 Cell Li-ion,42Whr ,65W Round Tip (3-pin),Cloud Grey,325.3 x 216.5 x 17.9 mm,1.38 kg, 2 years warranty ( Battery adapter 1 year),,,,,,,,,,,,,,,,,,
"Lenovo IdeaPad 1 AMD Ryzen 5 7520U 15.6"" FHD Laptop 8GB DDR5 RAM 512GB SSD Grey with 2 Years Warranty",63500,AMD,Ryzen 5 7520U, 2.8 GHz – 4.3 GHz,4,8,"L1 Cache: 256KB
L2 Cache: 2MB
L3 Cache: 4MB","15.6""",TN,FHD (1920 x 1080),N/A,220nits Anti-glare; 170° Viewing Angle,8GB (On Board),DDR5,NO,5500MHz,1,NVMe PCIe SSD,512GB ,N/A, PCIe NVMe M.2,Installed SSD can be upgradeable,AMD Radeon 610M,Shared,Standard,Yes,Yes,Yes,Yes,N/A,SD Media Card Reader,1x HDMI 1.4b,1x USB 2.0 Type-A,1x USB 3.2 Gen 1 Type-A,1x USB-C 3.2 Gen 1 (support data transfer only),1 x Headphone/ Microphone Port Combo,"11ax, 2x2",Bluetooth 5.0,No,Free Dos,3 Cell Li-ion,42Whr ,65W Round Tip (3-pin),Cloud Grey,325.3 x 216.5 x 17.9 mm,1.58 kg, 2 years warranty ( Battery adapter 1 year),,,,,,,,,,,,,,,,,,
"Lenovo IdeaPad 1 AMD Ryzen 5 7520U 15.6"" FHD Laptop 8GB DDR5 RAM 512GB SSD Cloud Grey with 2 Years Warranty",63500,AMD,Ryzen 5 7520U, 2.8 GHz – 4.3 GHz,4,8,"L1 Cache: 256KB
L2 Cache: 2MB
L3 Cache: 4MB","15.6""",IPS,FHD (1920 x 1080),N/A,250nits Anti-glare,8GB (On Board),DDR5,NO,5500MHz,1,NVMe PCIe SSD,512GB ,N/A, PCIe NVMe M.2,Installed SSD can be upgradeable,AMD Radeon 610M,Shared,Standard,Yes,Yes,Yes,Yes,N/A,SD Media Card Reader,1x HDMI 1.4b,1x USB 2.0 Type-A,1x USB 3.2 Gen 1 Type-A,1x USB-C 3.2 Gen 1 (support data transfer only),1 x Headphone/ Microphone Port Combo,"Wi-Fi 6, 11ax 2x2",BT5.2,No,Free Dos,3 Cell Li-ion,42Whr ,65W Round Tip (3-pin),Cloud Grey,325.3 x 216.5 x 17.9 mm,1.58 kg, 2 years warranty ( Battery adapter 1 year),,,,,,,,,,,,,,,,,,
"Lenovo IdeaPad Slim 3 15ABR8 Ryzen 7 7730U 15.6"" FHD Laptop with 1080p FHD Webcam",82000,AMD,Ryzen 7 7730U,up to 4.5 GHz,8,16,16MB,15.6 Inch,,FHD (1920×1080),No,IPS 300nits Anti-glare,16GB,DDR4,"16GB Onboard, not upgradeable",,1,M.2 2242 PCIe 3.0x4 NVMe SSD,512GB SSD,N/A,,,AMD Radeon Graphics,Shared,"Backlit, English (EU)",Yes,FHD 1080p Webcam,1.5W x2 Stereo ,"2x Array
",N/A,1x Card reader,1x HDMI 1.4b,,2x USB 3.2 Gen 1," 1x USB-C 3.2 Gen 1 (support data transfer, Power Delivery and DisplayPort 1.2)", 1x Headphone / microphone combo jack (3.5mm),"Wi-Fi 6, 11ax 2x2",Bluetooth 5.1,"Touch Style, Integrated in Power Button",Windows 11 Home,Integrated,47Wh,65W round tip (3-pin) AC adapter,Arctic Grey ,359.3 x 235 x 17.9 mm (14.15 x 9.25 x 0.70 inches),Starting at 1.62 kg (3.57 lbs),2 years International Limited Warranty (Battery 1 year).,Integrated AMD Radeon Graphics,Integrated ,Dolby Audio,N/A,Yes,FW TPM 2.0,"PC-ABS (Top), PC-ABS (Bottom)",MIL-STD-810H military test passed (21 test items),,,,,,,,,,
"Lenovo IdeaPad 1 AMD Ryzen 5 7520U 15.6"" FHD Laptop 8GB DDR5 RAM 512GB SSD Sand Color with 2 Years Warranty",63500,AMD,Ryzen 5 7520U, 2.8 GHz – 4.3 GHz,4,8,"L1 Cache: 256KB
L2 Cache: 2MB
L3 Cache: 4MB","15.6""",TN,FHD (1920 x 1080),N/A,220nits Anti-glare; 170° Viewing Angle,8GB (On Board),DDR5,NO,5500MHz,1,NVMe PCIe SSD,512GB ,N/A, PCIe NVMe M.2,Installed SSD can be upgradeable,AMD Radeon 610M,Shared,"Non-backlit, English (EU)",Yes,Yes,Yes,Yes,N/A,SD Media Card Reader,1x HDMI 1.4b,1x USB 2.0 Type-A,1x USB 3.2 Gen 1 Type-A,1x USB-C 3.2 Gen 1 (support data transfer only),1 x Headphone/ Microphone Port Combo,"Wi-Fi® 6, 11ax 2x2",Bluetooth 5.1,No,Free Dos,3 Cell Li-ion,42Whr ,65W Round Tip (3-pin),Sand,360.2 x 236 x 17.9 mm (14.18 x 9.29 x 0.70 inches),Starting at 1.58 kg (3.48 lbs), 2 years warranty ( Battery adapter 1 year),,,,,,,,,,,,,,,,,,
"Lenovo IdeaPad Flex 5 14ALC7 AMD Ryzen 5 5500U 14"" Touchscreen Laptop",95000,AMD,Ryzen 5 5500U,2.1GHz up to 4.0GHz,6,12,"L2 Cache: 4MB
L3 Cache: 8MB",14 Inch,IPS,1920x1200 WUXGA,Yes,"300nits Glossy, 45% NTSC, TÜV Low Blue Light, Glass, Touch",16GB,LPDDR4x,No,4266MHz,,SSD,512GB,,,,Integrated AMD Radeon,,"Backlit Keyboard 
",Yes ,Yes,Yes,"2x, Array",,4-in-1 Card Reader,"1x HDMI 1.4b
",,"1x USB 3.2 Gen 1

","1x USB-C 3.2 Gen 2 (support data transfer, Power Delivery 3.0 and DisplayPort 1.4)","1x Headphone / microphone combo jack (3.5mm)
","Wi-Fi 6, 11ax 2x2 
",Bluetooth 5.1,Yes,"Windows 11 Home Single Language, English",Li-Polymer,Integrated 52.5Wh,65W Round Tip (3-pin),Storm Grey,313.1 x 224.9 x 17.8 mm (12.32 x 8.85 x 0.70 inches),1.55 kg (3.42 lbs),"2 years Limited Warranty (1 year for Battery and Adapter, Terms & conditions Apply As Per Lenovo)",AMD SoC Platform,,"Front-facing stereo speakers, 2W x2, optimized with Dolby",,Yes,,"PC-ABS + 40% GF (Top), PC-ABS + 40% GF (Bottom)",,16GB,,,,,,,,,
